,blobs,ideology,title
0,effects every american way also keep americans funding terrorism drug cartels would bring jobs following industries energy farming housing industrial manufacturing healthcare bring much needed tax dollars fuel military provide better body armor troops fuel america surplus foreign export,Liberal,legalize marijuana and bring jobs to millions of americans.
1,dying days ottoman empire cover world war young turk government embarked racist strategy xturkificationx multiethnic multireligious empire oneandonehalf million armenians murdered armenian genocide survivors exiled yearold homeland would like petition united states government officially recognize armenian genocide genocide states shown recognition former president obama promised acknowledge genocide failed,Neutral,officially recognize the armenian genocide of 
2,walleye political pawns mille lacs lakewhile natives nonnatives battle reservation boundaries mille lacs lake treaty management lakes resources become quagmire democratic led state department natural resource officials say hands tied mille lacs band officials screaming xfoulx every turn result supreme court ruling treaty seven tries ojibwe sought walleye become game piece struggle retain jurisdiction south end mille lacs partiesonly thing gamethe plan since treaty ruled ojibwe tribe simple ruin walleye fishing resorts businesses nonnatives bankrupted,Neutral,eliminate mille lacs lake treaty management
3,cannot make america great many disabled autistic children must urgently face autism epidemic admit reality confront stunning rise addition must rein americaxs exploding vaccine schedule crucial reform autism vaccine policy initiative shine light corruption xdrain swampx unaccountable bureaucratswe ask take six actions declare autism national emergency convene presidential commission vaccine safety scientific integrity depose cdc whistleblower dr william thompson conduct study comparing total health outcomes vaccinated unvaccinated populations create national vaccine safety board repeal replace national childhood vaccine injury act,Conservative,take action to end the autism epidemic and implement comprehensive reforms of vaccine safety policies
4,locked us government years prison exercising constitutional right free speechkevin trudeau arrested kevin trudeau commit crime kevin trudeau charged crime kevin trudeau convicted crime kevin trudeau ordered pay fine kevin trudeau ordered pay restitutionkevin cannot get prison himselfhe needs helpxnowwe help kevin donxt,Neutral,release kevin trudeau
5,dea erroneously classified marijuana schedule drug states apt judge understand citizens favor legalization whether medical recreational use jeff session wrong prejudice exercising personal views misrepresents america president trump stated believed marijuana use left states,Liberal,make marijuana legalization for recreation or medical use a states right issue.
6,people request congress create missing veteran alert system heightened alert incrisis veterans military personnel allow missing person report filed wait restrictions civilian military lawenforcement allow search efforts immediately begin upon transaction mpr provide veterans courts states mandate training firstresponders facilitate assistance incrisis veterans servicemembers mandate states reporting veteran suicide data national level name new policy erik jorgensens law inspired erik lane jorgensens us army spc afghanistan combat veteran idaho combat ptsd completed suicide summer please honor heroes new legislation,Neutral,"write new policy, erik jorgensen's law to prevent veteran and active duty suicide"
7,approximately youth aged x suffer severe mental disorder currently consistent required screening procedures done pediatric offices early detection disorders klein high jr medical reserve corps team partnership harris county mrc initiated petition require screening mental illness youth schools initiated suicide prevention programs still inadequately address issue hand take action require comprehensive mental health screening part annual physical examinations completed pediatricians detection mental illness teenagers help make change lives teens living undiagnosed mental illnesses,Liberal,take action to improve screening for mental illness in teens
8,military members active reserve retired veterans families adversely affected unintended consequence current federal hiring freeze freeze applies department defense employees including paid tax dollars quotnonappropriated fundquot employees work military exchanges morale recreation welfare organizations critical support child care access facilities remote areas may decreased stopped altogether freeze freezing nonappropriated fund hiring salaries nothing reduce federal budget federal tax dollars used pay employees military spouses veterans also lost job opportunities,Neutral,exempt department of defense nonappropriated fund employees from the federal hiring freeze
9,long history white house multiple political parties charge nothing like happened americans press right transparency white house equal access rather access people president trump andor staff like,Liberal,we strongly protest exclusion of news orgs. from whitehouse press briefings. media access is crucial to public interest.
10,white house give excellent news organization hillarybeattrumporg permanent white house press credentials hillarybeattrumporgs brilliant journalists attend daily white house press briefings combat fake news bring people biggest new stories americas real president hillary rodham clinton election million votes,Neutral,immediately give hillarybeattrump.org permanent white house press credentials!
11,today white house banned attendance national media outlets cnn new york times politico press briefing people demand media outlets welcome white house presidential press briefings,Liberal,allow all press outlets in white house press briefings
12,school nurse noticed increase hunger students school lunch amount food thrown away daily increased obesity percentage reduced intended federal restrictions school lunches federal funding tied school lunch programs requiring schools follow restrictions funding withheld impacts poor schools children becoming obese school lunches rather junk fast food consume place school lunches since restrictions put place students choose eat eat junk food school lunch students school lunch opportunity good meal need lift restrictions,Liberal,"reduce hunger in our students by reducing restrictions placed on school lunches, kids can't learn if they are hungry!"
13,kansas shooting incident srinivas kuchibhotla scary indian american law abiding citizen country considers home need see governments clear stand finding ways stop anger towards immigrants law abiding citizens country,Liberal,need to hear govt stand on kansas shooting of srinivas kuchibhotla
14,president reaches petition supporters nomination supreme court people must also allowed give opportunity see numbers electorate stand resolute opposition current nomination,Liberal,oppose the nomination of judge gorsuch for the supreme court
15,lot blame laid trump election campaign strategy resulting increase hate crimes across country need president successfully reverse perception way strategy employed effectively win white housethree innocent lives working quotmake america greatquot countless number others affected senseless shooting,Liberal,"need a statement from president trump, on the wednesday (feb ) kansas bar shootings."
16,incident shooting outside pub olathe kansas evening unfortunate incident ended injuring killing indian national innocent people trying spend evening good companymedia reports cite police department stating possible hate crime definitely also act terrorism people specific community targeted shot along racial slurs thrown shooterthis act shaken lawful residents country impact gun violence continues claim several livesterrorism race govt authorities would best declaring terrorist attack ensure justice served,Liberal,"brand the incident in olathe-kansas, where  people were shot at and an indian national died, as an act of terrorism"
17,indigenous people biafra fully support president donald trump ask help seek independence nigeriawe seek nation returned us raise children peace safetygenocide occurring people hands nigerian government shown amnesty international video presented un largely christian population singled attack nigerian backed boko haramour leader nnamdi kanu held prison president muhammadu buhari false accusationsour prayer help us realize dream one believe inspired godwe believers savior youwe pray believe great man chosen god time,Neutral,americans and biafrans petition president trump to help restore the nation of biafra to the biafran people.
18,fatal shooting indian engineer allegedly gunned kansas man wednesday february nd said xget countryx must treated hate crimewe call upon president donald trump state clearly unequivocally denounces incident would also like us department justice local law enforcement investigate murder hate crime anything less injustice victims families,Liberal,indian engineers  target of hate crime.
19,pastor raymond koh abducted least masked men february th near kuala lumpur malaysia since abduction malaysian authorities slow respond families requests speedy forthright investigation moreover voiced support christian community malaysia pledged make sure attacks stop juncture many religious freedoms christians enjoyed malaysia multicultural atmosphere could come increasing attack asking white house us government help pressure malaysian authorities use resources find pastor koh insure religious freedom within malaysia,Neutral,"pastor raymond koh was abducted on // in kuala lumpur, malaysia.  authorities have been very slow to respond."
20,donald trump accidental president fringe president elected grave danger x unlike barack obama elected donald trump attack deep statexthe enemy enemy friendx common enemy across america deep statea violent american spring coming hundreds millions dollars spent mobilize protesters replicate violent misbehaviour berkeley across landplease meet ron paul dennis kucinich cynthia mckinney robert steele soon possible,Neutral,memotrump x % not % x unity act against the deep state now!
21,wednesday night trump took back almost everything obama protect lgbt rights trumps campaign vowed protect lesbian gay bisexual transgender americans violence oppression repealed laws protecting transgender teenagers right teachers call correct name pronouns teachers allowed use birth name pronouns along transgender individuals longer allowed use bathroom corresponds gender identity means men forced womens restrooms way around also repealed protection laws companies legally allowed refuse service trans people allowed discriminate work place,Liberal,lgbtq+ rights
22,today found rights transgender male taken away trump administration quite awful scary youth able use public restroom fight come come,Liberal,fight for transgdener youth
23,petition protect zoned residential area plans mega mosque built,Conservative,petition a.g. jeff sessions to cancel deal made by obama doj staff in case of sterling heights mi mosque in residential
24,lyme disease silent epidemic causing death disability every state usa cdc estimated new cases lyme would diagnosed every year yet zika virus reported cases gets attention funds cdc congress lyme cause death also bankrupts families strips doctors licenses causes incredible pain suffering mental anguish cdc recognize chronic lyme insurance companies deny treatment reliable test adequate treatments assurances government change want president congress investigate holding cdc back protecting americans disease,Neutral,ask president trump to urge congress to investigate the cdc and its handling of lyme disease.
25,google controls internet searches united states attempting silence voice doesnt coincide political views incidentally targets biggest voices alternative media naturalnewscom infowarscomthis week google wiped naturalnewscom articles database prohibiting individuals viewing sites webpages searched google sent prior warning natural news stated follow google terms service rules condone endorse techniques may manipulate natural news search engines censorship independent media blatant attack first amendment rights usersplease sign share petition,Conservative,petition to ban google's blatant suppression of free speech
26,according draft executive order administration planning remove protections transgender students public schools allow use bathroom choice important protections enable students live according gender identity help prevent bullying harassment campaign president trump expressed support transgender rightsin particular letting transgender people use bathroom choosing according news reports proposed change opposed secretary education betsy devosthe proposed executive order unnecessary meanspirited would make school less safe thousands students please discard order preserve important protections transgender students,Liberal,allow transgender students to use the bathroom of their choice
27,student loan system country become predatory inflationary crushing lives millions citizens due indefensible removal bankruptcy protections statutes limitations core consumer protections student loans unconstitutional intolerable stand founders demanded uniform bankruptcy system ahead power raise army declare war gave congress powers constitution student loan disaster proves wisdomrepublicans claim believe smaller government freemarket principles must agree democrats claim believe fair government fair lending must also agree repeal usc immediately,Liberal,"level the playing field, and return standard bankruptcy protections to all student loans"
28,february press secretary sean spicer indicated department justice might begin greater enforcement federal law states legalized marijuana campaign president trump repeatedly pledged elected federal government would respect rights states enact cannabis laws wise policy supported growing supermajority voters know state marijuana legalization laws hurt cartels fund schools roads protect public health safety studies journal american medical association others shown states legal accessible medical recreational marijuana see significant reduction opioid death rates please keep promise american people,Liberal,keep your campaign pledge to respect state marijuana legalization laws.
29,today found trump administration taken away right use restroom matches way view leaves public restroom use already started transition appear masculine cannot enter womans restroom cause questioned possibly harassed due appear forcing upon community ask move forward president obamas change letting people use restroom matches gender identify gender theyre forced,Liberal,fight for transgender rights
30,people genders call education department justice department current administration restore transgender student rights already judged inclusive within title ix democracy extend rescind civil rights transgender rights human rights transgender rights natural rights natural rights universal inalienable per declaration independence constitution transgender students schools transgender citizens states must granted natural rights education without gender bias employment without gender bias housing without gender bias formal gender identity gender pronoun preference bathroom dignity institutions,Liberal,restore transgender rights for students
31,petition response administrations stance rescinding protections transgender youth school bathroom setting transgender youth able use bathroom choice decrease stigma trauma violence towards transgender youth trans youth feel unsafe school setting point suicide attempts trans people almost acceptance trans youth starts acknowledging trans youths rights exist school setting without discrimination implore administration support trans youth lgbtq community,Liberal,reinstate school protections for transgender youth
32,people united states demand hear president white house regarding dramatic rise antisemitism activities jewish people specifically insurgence bomb threats local community centersschools desecration graveyards rise local university mn numerous incidents swastikas hate speech directed jews last months white house president regarding uprising hatred truly make america great speaking surging volcano hatred nation,Liberal,address the rise of anti-semitism in the united states (bomb threats and graveyard desecrations).
33,petition important people unites states america would recognizing jerusalem capital israel moving us embassy telaviv jerusalem embassy moved jerusalem countries would recognize jerusalem israels capital important show relations israel strong alliance unbreakable,Conservative,move the us embassy in israel from tel aviv to jerusalem.
34,dear mr presidentthe president republic korea park geunhye legitimate president elected people korea recently illegally impeached prosecutors special investigators korean national assembly without evidence deviating presumptions innocence prosecutor even legislature pursued impeachment president people korea want inform mr trump american people unfairness impeachment impeachment president struggling forefront preserving countrys democratic values korean national assembly impeaching president park governing act politicians korea must impeached well,Neutral,"the president of the republic of korea, park geun-hye shouldn't be impeached by korean national assembly!!!"
35,hughes amendment part firearm owners protection act unconstitutional ban limits law abiding citizens owning fully automatic weapons manufactured past may select fire weapons already heavily regulated national firearms act requires register gun submit tax stamp since known homicides committed legally owned fully automatic firearm one caused police officer law nothing prevent crime raises price legal automatic weapons ludicrous price due supply demand repealing unconstitutional hughes amendment restore second amendment rights attack long time,Conservative,repeal the  hughes amendment
36,tax payers lining pockets president children associates allowing stay properties stake president allowed use mar lago winter whitehouse tax payer expense,Liberal,the president of the united states nor his children shall use tax payer money to stay at any properties held by them.
37,ask president trump repeal replace executive order xadministration reformed export controls march eo blocks return wwiikoreavietnam era firearms mgarand mcarbine etc pistols colt etc surplus ammunition historic pieces american military rightly belong hands american citizens past many firearms sold cmp available stock gone almost gone large stores firearms located oversees people united states allowed purchase historical firearms ask president trump immediately revoke eo also ask issue new eo allow return sale obsolete rifles pistols ammunition,Conservative,"allow us citizens to purchase obsolete military rifles, pistols, and ammunition by repealing executive order "
38,firearm owners protection act enacted protect lawful gunowners egregious abuses kneejerk gca legislation last minute attempt spoil bill rep william j hughes dnj moved include clause unconstitutionally prevent law abiding citizens owning fully automatic weapons manufactured past may addition became known hughes amendmentthe hughes amendment prevent crimes committed machine guns nfa registers amp taxes law abiding citizens wish possess fact two homicides record committed registered machine guns years since nfa enactedrepeal hughes amendmendment let freedom reign,Conservative,repeal the hughes amendment to the  firearm owners protection act
39,twitter become censorious platform spite receiving large amounts government money receiving direct measurable benefits used regularly president united states members us federal government therefore us federal government within bounds demand twitter restore accounts following suspended users censored unjustly immediately milo yiannopoulos chuck c johnsonwesearchr craig r brittain martin shkreli azealia banks mike pax dickinson tila tequila others people also hired paid white house part newly formed communications panel made white house speech consultants whsc tackle speech issues social media platforms,Conservative,"restore milo yiannopoulos, craig brittain, martin shkreli and others to twitter and hire them as wh speech consultants."
40,deregulate home distillation alcoholic spirits personal consumption stop making illegal distill small batches alcohol home personal consumption already home brew beer wine cant deregulate home distillation,Neutral,deregulate home distillation of alcoholic spirits for personal consumption
41,recent assassination north korean leaders estranged half brother clear reason us relist north korea state sponsor terrorism designation lifted nine years agonorth korea worst country human rights provocations exceed bounds international law security hope house lawmakers put north korea terrorism blacklist curb reckless terror acts potentially halt nuclear missile programs,Conservative,the us house lawmakers should relist north korea as a state sponsor of terrorism
42,petition trump administration retract executive ordereo signed president obama reimportation historically important us military firearms direct department state approve reimportation former us military firearms sale us citizens firearms would impact semiautomatic us garand carbine rifles prized collectors competitive sports shooters backyard plinkers interested us military history type firearms associated crimes obamas executive action solved firearmsrelated problems political grandstanding helped inhibit legitimate collectors able piece american heritage,Conservative,we petition the trump administration to:  facilitate the re-importation of historic u.s. firearms.
43,syrian democratic forces sdf includes arab muslims kurds christians minorities effective force fighting isis us military treats sdf ally supplies sdf arab muslim units federation northern syria oversees sdf governs syria religiousethnic groups work together democratic structures achieved real equality freedom women freedom religion freedom middle east needs ?we call president trump ? give christian syriac military council amp kurdish peoplexs protection units equal military support given arab units ensure participation peace talks future syria fns make fns safe zone lift sanctions,Neutral,support syriac christians &amp; kurds within syrian democratic forces. support federation of northern syria
44,undersigned committed supporters nationxs democracy fundamental principles liberty equality justice recent actions trump administration threaten principles including elimination x jan st inauguration day links information spanish white house webpage whitehousegov liberty equality justice require access important information although majority native speakers spanish us also proficient english pew report previous administrations provided links spanish versions written materials ensure indepth understanding issueswe urge reinstate spanish links whitehousegov,Liberal,reinstate the spanish links on whitehouse.gov
45,ample evidence russian individuals organizations government bodies tried influence presidential elections extent true nationxs form democracy threatened call congressional leaders convene joint select committee investigate activities russian government people directed russian government acting even indirectly behalf russian government meant influence outcome us presidential election addition investigation include involvement communition russian effort presidential campaign candidatecommittee hearings open public called within days,Liberal,we call for a  joint select committee to investigate russian attempts to influence the  u.s. election.
46,hughes amendment part firearm owners protection act unconstitutional ban limits law abiding citizens owning fully automatic weapons manufactured past may select fire weapons already heavily regulated national firearms act requires register gun submit tax stamp since known homicides committed legally owned fully automatic firearm one caused police officer law nothing prevent crime raises price legal automatic weapons ludicrous price due supply demand repealing unconstitutional hughes amendment restore second amendment rights attack long time,Conservative,repeal the  hughs ammendment of the firearm owners protection act.
47,hughes amendment part firearm owners protection act unconstitutional ban limits law abiding citizens owning fully automatic weapons manufactured past may since known homicides committed legally owned fully automatic firearms law nothing prevent crime raises price legal automatic weapons ludicrous price due supply demand repealing unconstitutional hughes amendment help restore godgiven right keep bear arms,Conservative,repeal the  full auto ban  usc § (o)
